Date;Stock_Price;Shares;Equity;Debt;Asset
1996-12-09;192.364;11.515;2215.07146;5358;7573.07146
1996-12-10;195.674;11.515;2253.18611;5358;7611.18611
1996-12-11;195.868;11.515;2255.42002;5358;7613.42002
1996-12-12;199.762;11.515;2300.25943;5358;7658.25943
1996-12-13;198.01;11.515;2280.08515;5358;7638.08515
1996-12-16;205.409;11.515;2365.284635;5358;7723.284635
1996-12-17;208.135;11.515;2396.674525;5358;7754.674525
1996-12-18;211.639;11.515;2437.023085;5358;7795.023085
1996-12-19;199.568;11.515;2298.02552;5358;7656.02552
1996-12-20;204.825;11.515;2358.559875;5358;7716.559875
1996-12-23;208.329;11.515;2398.908435;5358;7756.908435
1996-12-24;208.719;11.515;2403.399285;5358;7761.399285
1996-12-27;209.692;11.515;2414.60338;5358;7772.60338
1996-12-30;209.887;11.515;2416.848805;5358;7774.848805
1996-12-31;210.86;11.52;2429.1072;5358;7787.1072
1997-01-03;220.401;11.52;2539.01952;5126;7665.01952
1997-01-06;224.489;11.52;2586.11328;5126;7712.11328
1997-01-07;220.011;11.52;2534.52672;5126;7660.52672
1997-01-08;225.852;11.52;2601.81504;5126;7727.81504
1997-01-09;224.879;11.52;2590.60608;5126;7716.60608
1997-01-10;222.737;11.52;2565.93024;5126;7691.93024
1997-01-13;223.127;11.52;2570.42304;5126;7696.42304
1997-01-14;221.569;11.52;2552.47488;5126;7678.47488
1997-01-15;217.091;11.52;2500.88832;5126;7626.88832
1997-01-16;221.958;11.52;2556.95616;5126;7682.95616
1997-01-17;220.985;11.52;2545.7472;5126;7671.7472
1997-01-20;225.268;11.52;2595.08736;5126;7721.08736
1997-01-21;232.667;11.52;2680.32384;5126;7806.32384
1997-01-22;243.57;11.52;2805.9264;5126;7931.9264
1997-01-23;246.296;11.52;2837.32992;5126;7963.32992
1997-01-24;240.455;11.52;2770.0416;5126;7896.0416
1997-01-27;240.065;11.52;2765.5488;5126;7891.5488
1997-01-28;246.685;11.52;2841.8112;5126;7967.8112
1997-01-29;249.606;11.52;2875.46112;5126;8001.46112
1997-01-30;251.747;11.52;2900.12544;5126;8026.12544
1997-01-31;253.694;11.52;2922.55488;5126;8048.55488
1997-02-03;253.11;11.52;2915.8272;5126;8041.8272
1997-02-04;250.19;11.52;2882.1888;5126;8008.1888
1997-02-05;248.438;11.52;2862.00576;5126;7988.00576
1997-02-06;248.243;11.52;2859.75936;5126;7985.75936
1997-02-07;259.925;11.52;2994.336;5126;8120.336
1997-02-10;262.845;11.52;3027.9744;5126;8153.9744
1997-02-11;258.951;11.52;2983.11552;5126;8109.11552
1997-02-12;260.898;11.52;3005.54496;5126;8131.54496
1997-02-13;259.925;11.52;2994.336;5126;8120.336
1997-02-14;258.562;11.52;2978.63424;5126;8104.63424
1997-02-17;258.367;11.52;2976.38784;5126;8102.38784
1997-02-18;254.863;11.52;2936.02176;5126;8062.02176
1997-02-19;254.863;11.52;2936.02176;5126;8062.02176
1997-02-20;253.11;11.52;2915.8272;5126;8041.8272
1997-02-21;251.942;11.52;2902.37184;5126;8028.37184
1997-02-24;251.358;11.52;2895.64416;5126;8021.64416
1997-02-25;255.252;11.52;2940.50304;5126;8066.50304
1997-02-26;253.11;11.52;2915.8272;5126;8041.8272
1997-02-27;251.553;11.52;2897.89056;5126;8023.89056
1997-02-28;244.738;11.52;2819.38176;5126;7945.38176
1997-03-03;248.243;11.52;2859.75936;5126;7985.75936
1997-03-04;249.216;11.52;2870.96832;5126;7996.96832
1997-03-05;253.305;11.52;2918.0736;5126;8044.0736
1997-03-06;256.615;11.52;2956.2048;5126;8082.2048
1997-03-07;257.199;11.52;2962.93248;5126;8088.93248
1997-03-10;257.588;11.52;2967.41376;5126;8093.41376
1997-03-11;256.226;11.52;2951.72352;5126;8077.72352
1997-03-12;251.942;11.52;2902.37184;5126;8028.37184
1997-03-13;250.969;11.52;2891.16288;5126;8017.16288
1997-03-14;250.385;11.52;2884.4352;5126;8010.4352
1997-03-17;247.269;11.52;2848.53888;5126;7974.53888
1997-03-18;248.243;11.52;2859.75936;5126;7985.75936
1997-03-19;250.774;11.52;2888.91648;5126;8014.91648
1997-03-20;244.154;11.52;2812.65408;5126;7938.65408
1997-03-21;246.101;11.52;2835.08352;5126;7961.08352
1997-03-24;248.438;11.52;2862.00576;5126;7988.00576
1997-03-25;246.88;11.52;2844.0576;5126;7970.0576
1997-03-26;243.375;11.52;2803.68;5126;7929.68
1997-03-27;249.995;11.52;2879.9424;5126;8005.9424
1997-04-01;243.375;11.52;2803.68;5126;7929.68
1997-04-02;242.986;11.52;2799.19872;5126;7925.19872
1997-04-03;239.481;11.52;2758.82112;5126;7884.82112
1997-04-04;239.287;11.52;2756.58624;5126;7882.58624
1997-04-07;250.19;11.52;2882.1888;5126;8008.1888
1997-04-08;258.951;11.52;2983.11552;5126;8109.11552
1997-04-09;257.394;11.52;2965.17888;5126;8091.17888
1997-04-10;254.668;11.52;2933.77536;5126;8059.77536
1997-04-11;253.305;11.52;2918.0736;5126;8044.0736
1997-04-14;252.332;11.52;2906.86464;5126;8032.86464
1997-04-15;252.721;11.52;2911.34592;5126;8037.34592
1997-04-16;251.553;11.52;2897.89056;5126;8023.89056
1997-04-17;252.332;11.52;2906.86464;5126;8032.86464
1997-04-18;262.651;11.52;3025.73952;5126;8151.73952
1997-04-21;262.456;11.52;3023.49312;5126;8149.49312
1997-04-22;263.429;11.52;3034.70208;5126;8160.70208
1997-04-23;263.04;11.52;3030.2208;5126;8156.2208
1997-04-24;262.651;11.52;3025.73952;5126;8151.73952
1997-04-25;258.562;11.52;2978.63424;5126;8104.63424
1997-04-28;259.73;11.52;2992.0896;5126;8118.0896
1997-04-29;255.447;11.52;2942.74944;5126;8068.74944
1997-04-30;251.163;11.52;2893.39776;5126;8019.39776
1997-05-01;254.765;11.52;2934.8928;5126;8060.8928
1997-05-02;258.367;11.52;2976.38784;5126;8102.38784
1997-05-05;268.686;11.52;3095.26272;5126;8221.26272
1997-05-06;267.323;11.52;3079.56096;5126;8205.56096
1997-05-07;265.376;11.52;3057.13152;5126;8183.13152
1997-05-09;264.014;11.52;3041.44128;5126;8167.44128
1997-05-12;262.261;11.52;3021.24672;5126;8147.24672
1997-05-13;265.571;11.52;3059.37792;5126;8185.37792
1997-05-14;266.35;11.52;3068.352;5126;8194.352
1997-05-15;258.562;11.52;2978.63424;5126;8104.63424
1997-05-16;266.739;11.52;3072.83328;5126;8198.83328
1997-05-20;261.677;11.52;3014.51904;5126;8140.51904
1997-05-21;268.492;11.52;3093.02784;5126;8219.02784
1997-05-22;279.2;11.52;3216.384;5126;8342.384
1997-05-23;288.156;11.52;3319.55712;5126;8445.55712
